...1,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94
83378,1544042907596,April,DE,382.8814,342,36,40,1,NA,44,2,7,0,0,"Native, Born In US",5,"Auto parts, accessories, and tire stores (4413)",4700,"Private, For Profit",No,No,Employed-At Work
83389,10610904480161,April,DE,382.8814,423.75,35,39,1,NA,42,2,5,2,4,"Native, Born In US",5,"Jewelry, luggage, and leather goods stores (4483)",4760,"Private, For Profit",No,No,Employed-At Work
83391,10610904480161,April,DE,493.5263,344,40,40,1,NA,21,1,7,0,0,"Native, Born In US",5,Restaurants and other food services (722 exc. 7224),4150,"Private, For Profit",No,No,Employed-At Work
83392,12771200112602,April,DE,451.793,581,45,39,1,NA,39,1,1,1,3,"Native, Born In US",5,"** Motor vehicles, parts and supplies, merchant wholesalers (*4231)",9130,"Private, For Profit",No,No,Employed-At Work
83393,12771200112602,April,DE,422.7269,1000,40,40,1,NA,38,2,1,1,3,"Native, Born In US",5,Aircraft and parts manufacturing (336411 to 336413),5150,"Private, For Profit",No,No,Employed-At Work
83394,12771200112602,April,DE,493.5263,673,40,42,1,NA,21,1,7,0,0,"Native, Born In US",5,Pharmaceutical and medicine manufacturing (3254),1920,"Private, For Profit",No,No,Employed-At Work
83395,14491600118006,April,DE,447.6169,376.25,35,43,1,NA,25,2,7,1,2,"Native, Born In US",5,"Justice, public order, and safety activities (922, pt. 92115)",2540,Government - State,No,No,Employed-At Work
83397,40101016916840,April,DE,375.4061,455,40,43,2,NA,47,2,5,0,0,"Native, Born In US",5,Beauty salons (812112),4520,"Private, For Profit",No,No,Employed-At Work
83398,40101016916840,April,DE,680.6861,420,35,39,2,NA,23,1,7,0,0,"Native, Born In US",5,Gasoline stations (447),4720,"Private, For Profit",No,No,Employed-At Work
83401,94130524710621,April,DE,422.7269,750,40,43,1,NA,36,2,5,0,0,"Native, Born In US",5,"Justice, public order, and safety activities (922, pt. 92115)",2015,Government - State,Yes,NA,Employed-At Work
83403,124162734000951,April,DE,425.3008,807,40,43,1,NA,44,1,1,2,3,"Native, Born In US",5,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work
83405,146040189160100,April,DE,493.7964,332.5,35,40,2,NA,22,2,1,2,1,"Native, Born In US",5,** Services to buildings and dwellings (5617 exc. 56173),4220,"Private, For Profit",No,No,Employed-At Work
83406,146040189160100,April,DE,802.7091,508,40,40,2,NA,25,1,1,2,1,"Native, Born In US",5,Nursing care facilities (6231),3600,"Private, Nonprofit",No,No,Employed-At Work
83409,168912905090039,April,DE,365.4488,384.61,33,43,2,NA,50,2,5,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2330,"Private, For Profit",No,No,Employed-At Work
83411,179912600013049,April,DE,374.4314,875,35,41,1,8,52,2,1,1,4,"Native, Born In US",5,"Other health care services (6215, 6219)",3655,"Private, For Profit",No,No,Employed-At Work
83412,179912600013049,April,DE,425.3008,692,35,40,1,NA,43,1,1,1,4,"Native, Born In US",5,Insurance carriers and related activities (524),4810,"Private, For Profit",No,No,Employed-At Work
83415,191946806025089,April,DE,382.8814,1080,40,43,1,NA,40,2,7,3,10,"Native, Born In US",5,Offices of physicians (6211),3255,"Private, For Profit",No,No,Employed-At Work
83416,191946806025089,April,DE,425.3008,740,40,39,1,NA,44,1,7,3,10,"Native, Born In US",5,** Construction (23),7315,"Private, For Profit",No,No,Employed-At Work
83417,198916905090037,April,DE,362.0443,1038.46,38,43,1,NA,55,2,5,0,0,"Native, Born In US",5,Home health care services (6216),3255,Government - State,No,No,Employed-At Work
83422,210009946450475,April,DE,417.5093,760,40,43,1,NA,33,2,1,0,0,"Native, Born In US",5,Child day care services (6244),4600,"Private, For Profit",No,No,Employed-At Work
83423,210009946450475,April,DE,423.785,494,40,40,1,NA,30,1,1,0,0,"Native, Born In US",5,Animal slaughtering and processing (3116),5610,"Private, For Profit",No,No,Employed-At Work
83435,425195069000744,April,DE,425.3008,772.4,40,41,1,NA,42,1,5,0,0,"Native, Born In US",5,Veterinary services (54194),4350,"Private, For Profit",No,No,Employed-At Work
83437,500806094416459,April,DE,505.4113,440,40,43,1,6,34,1,1,1,1,"Foreign Born, Not a US Citizen",5,** Construction (23),6600,"Private, For Profit",No,No,Employed-At Work
83439,500806094416459,April,DE,456.0729,300,40,34,1,6,23,1,7,0,0,"Foreign Born, Not a US Citizen",5,** Construction (23),6230,"Private, For Profit",No,No,Employed-At Work
83440,500806094416459,April,DE,474.2681,400,40,43,1,6,28,1,7,0,0,"Foreign Born, Not a US Citizen",5,Automotive repair and maintenance (8111 exc. 811192),7200,"Private, For Profit",No,No,Employed-At Work
83451,620801062716274,April,DE,302.996,462,40,39,2,NA,39,2,1,1,2,"Native, Born In US",5,"Banking and related activities (521, 52211,52219)",5000,"Private, For Profit",No,No,Employed-At Work
83463,741070815129320,April,DE,423.785,1200,40,42,1,NA,34,1,1,2,5,"Native, Born In US",5,Automotive repair and maintenance (8111 exc. 811192),7200,"Private, For Profit",No,No,Employed-At Work
83465,800019060136107,April,DE,422.7269,230.76,35,39,1,NA,38,2,1,3,10,"Native, Born In US",5,Elementary and secondary schools (6111),4020,Government - State,No,No,Employed-At Work
83468,850389660427102,April,DE,382.8814,150,10,44,1,NA,44,2,5,0,0,"Native, Born In US",5,Restaurants and other food services (722 exc. 7224),4110,"Private, For Profit",No,No,Employed-At Work
