text_id,processed_tex,domain_score,domain_rating,domain_sentiment,words_matched,num_human_raters,avg_human_rating,mad_human_rating,avg_ai_rating,human_rate_first,ai_rate_first,human_ai_diff,game_id,date_dt,round,wk,day,time,season,manager,manager_id,team,team_id,home_team,home_id,away_team,away_id,opp,opp_id,stadium,home,home_score,away_score,xhome,xaway,xscore,team_goal,other_team_goal,goal_diff,team_xg,other_team_xg,xg_diff,goal_xg_diff,win,draw,men,attend,ref
66,"Incredible the result, that’s basically to sum up, the dominance, the superiority in relation to the opposition and everything we did to try to win the game and that’s it, we didn’t get what we deserve clearly, but there is an element about putting the ball in the back of the net, with the amount of situations, chances, penalties that we had. We go home extremely sad but I cannot be prouder of my players, the team, individually, collectively what they have produced, on Wednesday night against TEAM, against two top teams, it’s incredible. We haven’t got rewarded and that’s the downside to it. 
To him and to all of them, that I love them, that we all love them individually and as a team they are a joy. What this team produces every three days is incredible regardless of what happens. And I'm not going to lose sight of that because of our results or for two because we didn't deserve those results. What can we do better. Let's try to do it. It's very difficult to achieve. It's an emotional part. It's something related to confidence as well. But it’s very difficult to ask something else from our players.
No, but I mean, we miss from various ways, from different plays. And I understand that, but I cannot love our players more. And I focus very much on the ones that we have to perform at the highest level. That's it. The rest is not in our hands, in my hands
But that's the outcome. Obviously relying on not performing like this. I don't want to bet on that. I bet on that team to try. Are we going to win big trophies? I don't know. But playing like this there are very few teams in the world that can play at that level.
I understand the point, but it's a remarkable week to understand what we did again today after what happened three days ago and what we did to two of the best teams in the moment right now. So this is what I take from the result. I understand that and it’s extremely disappointing but I cannot put my focus on that. I think it will be very, very, very unfair.
The first one that happens, when you want to take responsibility and leadership in a team, it can happen. PLAYER missed it. What I loved is that when I asked them, OK, who wants to take it? PLAYER was the first one in the sheet because I want to take it. And that's the players that we want. You're going to have difficult moments. It's how you respond to them. and PLAYER 's the captain and the leader. And I love that PLAYER's done that today again. 
I did it before, so in the moment that I did it, it's just to make sure that we create an atmosphere that is needed.",0.655555556,2,Strongly positive,9,4,-0.5,0.75,0.5,-1,0,-1,33,12/01/2025,NA,NA,NA,NA,2024/2025,mikel arteta,3,arsenal,6,arsenal,6,manchester utd,71,manchester utd,71,emirates,1,1,1,3.87,0.33,3.87-0.33,1,1,0,3.87,0.33,3.54,-3.54,0,0,1,NA,NA
85,"On the whole, I'm pleased with the performance that we showed. We've created chances at key moments in the game. We had PLAYER hit the woodwork, then she also had a header that went just wide. When you look at those and the timing of those, it has a big impact. That's where we're trying to change the way that we finish in front of goal and take more of those opportunities. 
In terms of the second half, I couldn't be more proud of the players performances
We played well in the first half, but there were moments that cost us. But, for large parts of the game, we managed the threat that TEAM were able to put us under.
They're a very good footballing team and you have to manage a lot of different problems. As a collective, we solved a lot of those issues throughout the course of the first half, but second half, we were just better in terms of being more proactive, pressing with intent and energy. 
Cohesively, it was much, much better, and it was probably one of our best 45 minutes of the season, and we'll be able to take a lot out of it. 
There's so many things involved in winning football matches. There's talent, there's work ethic, there's character and so many others, and I feel as though we've done everything that we possibly could in that second half to create chances. 
It takes a lot of heart to keep going. The players tried to rectify the situation and nobody shied away from that today. That's something that will stand us in good stead going into the next set of matches.",1.16,2,Strongly positive,5,1,0.3,0,1.2,0.3,1.2,-0.9,90,26/11/2023,NA,8,sun,14:00 (15:00),2023/2024,rehanne skinner,2,west ham,116,arsenal,5,west ham,116,arsenal,5,medow park,0,3,0,0.8,0.9,0.8-0.9,0,3,-3,0.9,0.8,0.1,-3.1,0,0,0,3686,lisa benn
105,"We showed that in the past games also when we were losing in difficult moments. We disconnect in the beginning of the second half, it was a tough moment for us, like 10 minutes. And then we return, I think we did a great job. I think if you look at all the game, I think we were the best team but they were more clinical. The fight from the team was really important for me.
Yeah, you could see it and feel it in the stadium. The team were comfortable and we dominated the possession. I don’t think it was the last pass, I think it was the last shot because, in my mind, PLAYER [had] two times in the same position. It can happen.
We know that this team play with a high line. When they switch sides, they try to push us so we tried to take advantage of that. I felt a little bit a lack of physicality in those balls because we had the position and we have to work on that. Overall, it was a good match but there is no taste in that. We need to focus on the next game.
It’s to start and in these types of games, we need to have long possession in the next possession. Then we started losing the ball again, we started doing bad passes in the build-up when the team is open so we were a little bit nervous in that moment. But then we managed to recover, it’s not easy but it was not enough.
I will think about that tomorrow. Tonight I don’t feel nothing. There is nothing I can say to you. Tomorrow I will have a lot of things because I saw the game. Tonight we have to take a night to think and then tomorrow we will have a lot of good things from this game.
We cannot think in that way, that winning silverware makes everything okay. It will be a long way. We are improving as a team and our goal, I say the same thing after the game and before the game, our goal is to win the league. How long it’s going to take? I don’t know but that is our goal.",1.8,2,Strongly positive,1,3,0.666666667,0.444444444,0.333333333,0,-1,0.333333333,67,19/12/2024,NA,NA,NA,NA,2024/2025,ruben amorim,11,manchester utd,71,tottenham,111,manchester utd,71,tottenham,111,tottenham hotspur,0,4,3,0.78,2.58,0.78-2.58,3,4,-1,2.58,0.78,1.8,-2.8,0,0,1,NA,NA
51,"It was a tough test today, I thought we held our own in the first-half. The players were frustrated, but at half-time, the message was clear: we were still very much in the game. We came out ready to push on.
It’s hard to maintain high lines and compact distances against a team with TEAM’s possession stats.
Our players worked tirelessly, but when you’re defending constant waves of attack, focus can slip, and they punish any lapse.
The players who came on fitted in well. Everyone gave everything, but world-class sides like TEAM expose any weaknesses.
We’ll learn from this and aim to stay stronger for 90 minutes.
Motivation isn’t an issue. We knew the challenges of this league—there are essentially two leagues within one.
Some games are about containing top teams; others are chances to go on the front foot. We’ll regroup and focus on upcoming matches where we can impose ourselves more.
This week’s been a whirlwind. It shows the contrast in levels.
We’ll stay composed, keep building, and focus on key opportunities ahead.",-0.35,-1,Mildly negative,2,2,-1.5,0.5,-1.5,-1,-1,0,62,19/01/2025,NA,11,sun,14:00 (15:00),2024/2025,laura kaminski,9,crystal palace,35,arsenal,5,crystal palace,35,arsenal,5,medow park,0,5,0,3.2,0.9,3.2-0.9,0,5,-5,0.9,3.2,-2.3,-2.7,0,0,0,3576,phoebe cross
76,"You can see today how crazy football is sometimes, because when you compare today's half to the first-half at STADIUM, it was far better today, but we were down [today] and there we had one more than they had.
Many parts of the game, many parts of football we did really well, but one very important part, defending our box, we did terribly today.
In the first-half after crosses we have to do better. A top team like TEAM, they punish you if you give them too much space in your box.
That was the disappointing part today, but I think how we played, the goal we scored was amazing. The chances we created, how we pressed them in many situations was really good. But the crucial part is defending our box, and this was not good enough today.
We wanted to make it a little bit more open, playing with more bravery, that’s why we could create several chances.
PLAYER’s in great shape. PLAYER had two big chances straight after half-time and this is also what top teams are doing. The efficiency was really outstanding from the other team.
PLAYER is getting better and better, and we are really delighted with PLAYER’s performances.
Our fans are always important.
Even when we were down the fans stayed quite positive. It's also something we have to analyse and to work on: when it's a little bit more open, we defend better.",0.857142857,2,Strongly positive,7,7,0.028571429,0.497959184,0.921428571,-0.6,1.25,-0.892857143,74,21/12/2024,NA,17,sat,17:30 (18:30),2024/2025,oliver glasner,8,crystal palace,36,crystal palace,36,arsenal,6,arsenal,6,selhurst park,1,1,5,1.61,3.05,1.61-3.05,1,5,-4,1.61,3.05,-1.44,-2.56,0,0,1,25167,simon hooper
101,"Yeah, I’m very happy with the result, very happy for the club and the players.
It was very much different. They went high in an aggressive press, player for player last week and today, they came out in a mid-block and zonal, and tried to close down spaces for us, which they did really well. It was a puzzle for us to try to figure out how we were going to break that down. We found some solutions in the second half, so we created a little more space and better areas to cross from, and then we had the players coming for us to make the difference today again.
Yeah, I think so! It’s a combination; you have to be opportunistic as well, we needed to be optimistic, we really wanted to win today, but we felt that the way we were playing, in our structure and the type of game we were playing, we felt like we were going to create; we were sticking with what we were doing and just trying to be a little bit more optimistic.
It was just a very impressive block of the team. The players have been stepping up big time, they’ve been owning this; we tried to relay it back to them all the time, so giving them the ownership. I’m just very happy with how the block has been, different challenges along the way, so all games have asked something different from us. We’ve responded to that really well, sticking to our identity, but also playing the game that’s ahead of us.",1.46,2,Strongly positive,5,4,1.975,0.0375,1.855,1.9,1.42,0.12,73,21/11/2024,group stage,4,thu,20:00 (21:00),2024/2025,renÃ£Â©e slegers,7,arsenal,5,arsenal,5,juventus,53,juventus,53,arsenal,1,1,0,3.8,0.5,3.8-0.5,1,0,1,3.8,0.5,3.3,-2.3,1,0,0,8832,ewa augustyn
63,"Gutted, because I think we deserved to win from the beginning to the end. We did almost everything that we had to. But this is the quality of the opposition. And then the margins of the league as well. For millimetres we could have been sitting here after a really strong and dominant performance against a really good team.
They are really well organised. This is football. When we played them at home last year the margin was huge for us. That’s the quality of every opposition. You cannot cry about it. That’s the beauty of this league too. The beauty of this team too is how they are able to play today, even in this circumstances and against good opposition. I’m really happy for that.
I think it’s a great thing that we can again score from a set piece. We can generate other stuff, we had other chances. For a team to play like this you have analyse every phase. Obviously against a low block you generate set pieces and you generate crosses because it’s really difficult to attack inside.
But it was offside, no? I imagine that if they give it it’s offside. That emotionally was tough because we were so happy and we really dug in to take it and it was taken away.
That’s the quality of opposition. We cannot feel sorry for ourselves. We have to stand up for ourselves. We had a really good performance against a really good side. Normally you don’t see these kind of games here. Now we have to continue to improve and look at what we can do better so that the opposition have zero chances to win the game. That’s the objective.
We really wanted it. We have good momentum and it was a really crucial moment for us to go for it. We certainly did. We certainly tried and we were so close to doing it. Unfortunately we didn’t manage to achieve it.
Yeah but as well because we want to win deserving to win against any kind of opposition. When they are able to change something we are still able to adapt and be so dominant and good in the game. That’s the thing. It’s all about us because we don’t know what the opposition is going to do. If we continue to play at this level with the threat that we are we are going to win a lot of games.
It’s not ideal. We know that when we have consistency there how much that's giving us as well, but that's a different season. It brings in different challenges, we try to face them in the best possible way, the players are certainly doing the same, and we're going to continue on that route. 
It's never enough if you don't score three, four or five. We want to improve in everything that we absolutely do. If they play 11 or 12 direct balls there, I want to win 11. If it's 12, then 12. If we win the high press and we release the unit out wide and they want to play, six times, six times. And when we manage the game, we want to management the game 100 per cent. That’s football. 
Yes, but I’m really pleased with the performance of PLAYER and we had to change the whole unit as well. We had PLAYER there and PLAYER on the left which we’ve never played before and PLAYER as a full back, and okay PLAYER does it. PLAYER comes in and was excellent. That’s it, they were not available and we have to respond to that and I’m very happy with the way the team did. 
Yes, it starts with the will that they have because they understand and recognise the situation that we are in, that we’ve been in since the start of the season and they’re trying to help the team by really feeling it because we’re asking them to do things they’ve never done and they’re really buying into that and trying their best, so that’s a positive.
Fair? Yeah, for sure. If there was something unfair, it’s for the referee to decide. I don’t think there was any issues there. 
Yes, for sure. We are a real threat and it’s nothing simple to do. 
I don’t know, I can’t promise you that with different personnel that wouldn’t happen. It was a really random situation and then sometimes you have to clap the opposition. I mean, from that angle as well, to have the shot that he had, the only shot in the whole game from the striker, to put it where he did, credit to them and sometimes you have to recognise that.",1.5625,2,Strongly positive,16,3,0,0.666666667,1.666666667,0,1,-1.666666667,21,08/12/2024,NA,15,sun,14:00 (15:00),2024/2025,mikel arteta,3,arsenal,6,fulham,45,arsenal,6,fulham,45,craven cottage,0,1,1,0.15,2.43,0.15-2.43,1,1,0,2.43,0.15,2.28,-2.28,0,1,1,26954,chris kavanagh
70,"We all feel the same. On the one side of course we are really happy and pleased, but the feeling is that we would have deserved more.
When we see the game, having many more shots over the whole game, creating so many really good chances for scoring goals, it feels like we would have deserved a win.
I think today, especially all the players and all the fans here at STADIUM deserved this celebration right at the end.
I felt just happy for everyone, for the players, because when you're outside, you watch the game and sometimes you think: ‘come on, how can this happen?’ [With us] really being in balance, being very, very stable in defending and creating chances and not scoring from it, and it just feels sometimes…
I think maybe we can't play better in creating five, six clear chances to score goals. Sometimes I look to the screen and I thought: ‘come on, what's going on here?’
I'm really pleased, and it's the character of this team that we always keep going, playing forward, because it was mentally a really tough game, missing so many chances, and always believing – so big credit to the players, and big credit to our fans who supported us until the end of the game.
These emotions you can't buy, you have to deserve, and I think everyone here today – maybe not the TEAM supporters! – but everyone else deserved these emotions today, and goes home now and enjoys Saturday evening.
I personally don't enjoy this evening, because I think we played fantastic, and now it's [time to] recharge all the batteries and then go into next match and take the three points there.
It doesn't look like it is, but we are improving in our habits. The players play more and more games together, and we get players back. PLAYER today, PLAYER had PLAYER’s first start since weeks, PLAYER was back again, so this is very, very positive.
And also then, always playing forward and keeping the balance, because TEAM can threaten you a lot in their transitions and their counter-attacks, we were very, very stable – so again, credit to the players.",1.266666667,2,Strongly positive,9,7,1.285714286,0.408163265,1.571428571,2,2,-0.285714286,110,30/11/2024,NA,13,sat,15:00 (16:00),2024/2025,oliver glasner,8,crystal palace,36,crystal palace,36,newcastle utd,76,newcastle utd,76,selhurst park,1,1,1,2.3,0.02,2.3-0.02,1,1,0,2.3,0.02,2.28,-2.28,0,1,1,25101,darren england
11,"No, I don’t think so. I can’t remember it. Although I don’t feel any pride in the substitution because you make a substitution because you have a certain game plan for why you do this. In this situation, we brought an attacker in for a defender just to play even more attacking football than we already did because we needed a goal - or goals. Then scoring from set-pieces was not something I had in my mind when I brought the two of them in, but of course PLAYER can score a goal and PLAYER has a good set-piece.
I couldn’t have asked for more today. I think most people talk about the second half - that they are really positive about the second half. If you ask me, I am also more positive about the second half than the first half, but if you play at this ground against this team, who are in such good form, hardly concedes a chance in every single game - and I have watched many of them back... so many counter-attack threats, almost every game they have counter-attack after counter-attack after counter-attack. We conceded only one counter-attack here today in 98 minutes of football of total domination. Unfortunately for us, that ball immediately went in.
Then in the second half, our ball possession also led to a lot of chances. You have to give credit, again, to TEAM because the way they defend, they throw themselves in front of shots, in front of every cross and then there is a goalkeeper that has an outstanding season this year and tonight again. Being down over here and it’s so hard to score against this team, it’s not what we wanted, but in the end what I want, what the fans should want and what the players should want is that they give it all they [have] got during every single game they play. That is what they did today, combined with outstanding football in the second half.
I think you saw today again that I can still strengthen the team or impact the game with the substitutes I have on the bench. Not for the first time this season, these players have helped us, that I could bring in. If you look at today, like I said, I couldn’t have asked for more. I said to them at half-time don’t get frustrated, you will not get many chances, probably the game is going to be slow, but just keep focusing on what you have to do and hopefully you will get two or three chances and let’s try to score from that. I was completely wrong because they created chance after chance after chance.
I wouldn’t say unique, but the playing style suits the players really well and I think this is what is the job of every manager: to try to find a playing style that suits your players. What makes it difficult, and we faced it not only against them but we faced it a bit against TEAM as well, is they play the long ball and they have some very good players for this. So, first of all you have to make sure you win the first ball and then the second or the third ball because they play the ball off PLAYER, who is a very strong, and then they have got these quick forwards that can hurt you as well.
But then the moment you win the second or the third ball there are 11 players behind the ball and it is so difficult to score against teams that play in a low block; it’s so difficult to create chances against teams like that. And yeah, that’s why for us it was such a disappointment that we went down because then they could even play their style even better, which made it a difficult evening for us because apart from the TEAM players that I have to give compliments, I have to give the fans compliments as well because they were really there for the home team and tried to influence the game as much as they could. They were a big help for TEAM tonight.
I said already before the game that after 20 games you can judge the table much better than in the first five, six, seven, eight, nine or 10 games and if you are right up there with us and the other teams… and I don’t think they are here because of luck. It is for every team very hard and difficult to play against them. They’ve already had a few difficult away games, with TEAM away, TEAM away, with TEAM away, us away, playing us already twice. So, that shows you that they are a team that can compete for the top end of the league table. I also think, but you have to tell me if I am right, that they have had most of their players available until now for the whole season so I see almost the same line-up, and that is a quality for the coaching staff that they have as well. But if they can keep bringing the same players on the pitch I see no reason for them to drop a lot of points.",0.891666667,2,Strongly positive,12,4,0.25,1.25,1.3,2,1,-1.05,40,14/01/2025,NA,21,tue,20:00 (21:00),2024/2025,arne slot,10,liverpool,64,nott'ham forest,77,liverpool,64,nott'ham forest,77,the city ground,0,1,1,0.53,2.72,0.53-2.72,1,1,0,2.72,0.53,2.19,-2.19,0,1,1,30249,chris kavanagh
30,"It was a bit of a strange game. We created so many chances in the first half and in the first five or 10 minutes of the second half, we had two clear chances; the header from PLAYER and another shot.
Then I think the second goal killed the game a little bit. Sometimes when you create so many chances, the post, the VAR, the keeper saves or the defenders that block the shot, sometimes it has to go in that way.
It's a shame because it was another chance for us but congratulations to them because probably when you save so many shots on the line, the goalkeeper, the body, the desire from them was very high.
No, tonight's game, I don't think it's physical or condition. When you play and you don't create chances, you don't create nothing, and you are not dangerous, then you can say we probably we struggled physically, we are not good enough, or we are not fresh.
But when you create so many chances, the post, the amount of chances, the VAR; I think we have so many chances in the first half. In the second half, we started in the same way. We have two clear chances and then the second goal kills the game. It is just a matter that sometimes it is not the right day for us.",0.830769231,2,Strongly positive,13,7,-0.142857143,0.489795918,-0.428571429,0,0,0.285714286,111,30/12/2024,NA,19,mon,19:45 (20:45),2024/2025,enzo maresca,6,chelsea,33,ipswich town,52,chelsea,33,ipswich town,52,portman road,0,2,0,1.5,1.61,1.5-1.61,0,2,-2,1.61,1.5,0.11,-2.11,0,0,1,29968,john brooks
